2019-10-10 13:40:30,839 | INFO  | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000) | org.apache.camel.impl.DefaultRuntimeEndpointRegistry | main
2019-10-10 13:40:31,095 | INFO  | Available providers: SUN version 1.8. | org.apache.camel.util.jsse.SSLContextParameters | main
2019-10-10 13:40:31,114 | INFO  | Available providers: SUN version 1.8. | org.apache.camel.util.jsse.SSLContextParameters | main
2019-10-10 13:40:31,157 | INFO  | Created ClientConnectionManager org.apache.http.impl.conn.PoolingHttpClientConnectionManager@6c8909c3 | org.apache.camel.component.http4.HttpComponent | main
2019-10-10 13:40:31,197 | INFO  | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance. | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:40:31,198 | INFO  | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:40:31,956 | INFO  | Route: receiveMessageRoute started and consuming from: Endpoint[activemq://queue:incoming] | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:40:32,008 | INFO  | Route: sendMessageRoute started and consuming from: Endpoint[activemq://queue:outcoming] | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:40:32,009 | INFO  | Route: route2 started and consuming from: Endpoint[direct://hello] | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:40:32,073 | INFO  | Route: route1 started and consuming from: Endpoint[http://f7d295826fc9:9091/say/hello?restletMethods=GET] | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:40:32,073 | INFO  | Total 4 routes, of which 4 is started. | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:40:32,132 | INFO  | Apache Camel 2.16.3 (CamelContext: camel-1) started in 1.488 seconds | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:41:01,769 | WARN  | Broker localhost not started so using ConnectorA instead | org.apache.activemq.broker.BrokerRegistry | qtp1620529408-30
2019-10-10 13:41:01,770 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp1620529408-30
2019-10-10 13:53:06,700 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:f7d295826fc9-34644-1570714826738-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-18
